Method,SNR,Sigma,FER,Time,AvgHamming,AvgHammingCorrect,AvgHammingWrong
BP,-5.000000000000,1.257433429683,0.998200000000,0.022573312209,59.595100000000,44.166666666667,59.622921258265
BP,-4.500000000000,1.187093705498,0.982500000000,0.022334637765,55.837600000000,43.028571428571,56.065750636132
BP,-4.000000000000,1.120688723846,0.918700000000,0.021226893564,52.023000000000,42.931119311193,52.827582453467
BP,-3.500000000000,1.057998378677,0.749500000000,0.018156693384,48.168900000000,42.183233532934,50.169446297532
BP,-3.000000000000,0.998814876483,0.486000000000,0.013082668391,44.307700000000,40.800778210117,48.016666666667
BP,-2.500000000000,0.942942047540,0.232400000000,0.007844440632,40.412200000000,38.718994267848,46.004733218589
BP,-2.000000000000,0.890194695688,0.085100000000,0.004404016096,36.539100000000,35.945349218494,42.922444183314
BP,-1.500000000000,0.840397984476,0.037600000000,0.002975504215,32.729400000000,32.586346633416,36.390957446809
BP,-1.000000000000,0.793386857653,0.031500000000,0.002494920563,29.019600000000,29.004130098090,29.495238095238
BP,-0.500000000000,0.749005492070,0.032000000000,0.002321443533,25.402600000000,25.389256198347,25.806250000000
BP,0.000000000000,0.707106781187,0.033700000000,0.002164595697,21.950200000000,21.936769119321,22.335311572700
QP-ADMM,-5.000000000000,1.257433429683,0.982100000000,0.127602800793,59.595100000000,47.022346368715,59.824254149272
QP-ADMM,-4.500000000000,1.187093705498,0.921600000000,0.135024518674,55.837600000000,46.460459183673,56.635308159722
QP-ADMM,-4.000000000000,1.120688723846,0.772100000000,0.128573512071,52.023000000000,45.662571303203,53.900401502396
QP-ADMM,-3.500000000000,1.057998378677,0.528600000000,0.101367972950,48.168900000000,44.228892660161,51.682557699584
QP-ADMM,-3.000000000000,0.998814876483,0.275100000000,0.060856961684,44.307700000000,42.221823699821,49.804071246819
QP-ADMM,-2.500000000000,0.942942047540,0.099000000000,0.026224466325,40.412200000000,39.559711431743,48.170707070707
QP-ADMM,-2.000000000000,0.890194695688,0.024500000000,0.008656946430,36.539100000000,36.302409021015,45.963265306122
QP-ADMM,-1.500000000000,0.840397984476,0.003000000000,0.002573879561,32.729400000000,32.697893681043,43.200000000000
QP-ADMM,-1.000000000000,0.793386857653,0.000100000000,0.001315869798,29.019200000000,29.018401840184,37.000000000000
QP-ADMM,-0.500000000000,0.749005492070,0.000000000000,0.001117365497,25.402700000000,25.402700000000,0.000000000000
QP-ADMM,0.000000000000,0.707106781187,0.000000000000,0.001026228533,21.949900000000,21.949900000000,0.000000000000
ALP,-5.000000000000,1.257433429683,0.999900000000,0.005936805319,59.595100000000,36.000000000000,59.597459745975
ALP,-4.500000000000,1.187093705498,0.999800000000,0.006008525314,55.837600000000,38.000000000000,55.841168233647
ALP,-4.000000000000,1.120688723846,0.999200000000,0.006098182518,52.023000000000,36.000000000000,52.035828662930
ALP,-3.500000000000,1.057998378677,0.993300000000,0.006202150797,48.168900000000,35.373134328358,48.255209906373
ALP,-3.000000000000,0.998814876483,0.965900000000,0.006296577192,44.307700000000,34.425219941349,44.656589709080
ALP,-2.500000000000,0.942942047540,0.878500000000,0.006156417652,40.412200000000,33.330864197531,41.391576550939
ALP,-2.000000000000,0.890194695688,0.674900000000,0.005482827115,36.539000000000,32.088280529068,38.682915987554
ALP,-1.500000000000,0.840397984476,0.395600000000,0.004187544138,32.729400000000,30.344142951688,36.373609706775
ALP,-1.000000000000,0.793386857653,0.157600000000,0.002727354417,29.019200000000,27.993471035138,34.501903553299
ALP,-0.500000000000,0.749005492070,0.038300000000,0.001703698193,25.402600000000,25.104502443589,32.887728459530
ALP,0.000000000000,0.707106781187,0.005700000000,0.001178904884,21.950200000000,21.900130745248,30.684210526316
AGC-ALP,-5.000000000000,1.257433429683,0.999900000000,0.118733178015,59.595100000000,36.000000000000,59.597459745975
AGC-ALP,-4.500000000000,1.187093705498,0.999000000000,0.119814920136,55.837600000000,39.900000000000,55.853553553554
AGC-ALP,-4.000000000000,1.120688723846,0.993200000000,0.121073736668,52.023200000000,38.867647058824,52.113270237616
AGC-ALP,-3.500000000000,1.057998378677,0.964900000000,0.121769082997,48.168900000000,37.524216524217,48.556119805161
AGC-ALP,-3.000000000000,0.998814876483,0.870400000000,0.116018498239,44.307700000000,36.861882716049,45.416360294118
AGC-ALP,-2.500000000000,0.942942047540,0.658800000000,0.096736207041,40.412200000000,35.672332942556,42.867030965392
AGC-ALP,-2.000000000000,0.890194695688,0.369900000000,0.064604883837,36.539100000000,33.978257419457,40.901324682347
AGC-ALP,-1.500000000000,0.840397984476,0.135000000000,0.032527413652,32.729400000000,31.699653179191,39.327407407407
AGC-ALP,-1.000000000000,0.793386857653,0.030300000000,0.014024520602,29.019200000000,28.741775806951,37.897689768977
AGC-ALP,-0.500000000000,0.749005492070,0.003000000000,0.006991995700,25.402400000000,25.372216649950,35.433333333333
AGC-ALP,0.000000000000,0.707106781187,0.000000000000,0.005416168481,21.950200000000,21.950200000000,0.000000000000
